date,incid_hosp
2020-09-14,5.396039603960396
2020-09-15,6.356435643564357
2020-09-16,6.425742574257426
2020-09-17,5.930693069306931
2020-09-18,8.415841584158416
2020-09-19,4.653465346534653
2020-09-20,1.3762376237623761
2020-09-21,7.465346534653466
2020-09-22,7.752475247524752
2020-09-23,6.425742574257426
2020-09-24,6.069306930693069
2020-09-25,6.544554455445544
2020-09-26,4.98019801980198
2020-09-27,2.386138613861386
2020-09-28,6.128712871287129
2020-09-29,6.910891089108911
2020-09-30,6.435643564356436
2020-10-01,6.198019801980198
2020-10-02,7.138613861386139
2020-10-03,5.267326732673268
2020-10-04,4.138613861386139
2020-10-05,7.02970297029703
2020-10-06,8.207920792079207
2020-10-07,7.811881188118812
2020-10-08,7.03960396039604
2020-10-09,8.396039603960396
